8.46292	0.243462	0.1	0.1	0.01	8.46292	0.243462	8.6	0.25	-3.00029	0	0	0	0
8.44857	0.251382	0.0991744	0.100527	0.0100012	8.44818	0.251553	8.45	0.25	-3.00027	0	0.000367979	0	1
8.47166	0.248807	0.0385264	0.100844	0.0100047	8.56759	0.241943	8.45	0.25	0	0	0.000367979	0.129948	2
8.46518	0.251147	0.0354372	0.101765	0.0100466	8.45582	0.253997	8.45	0.25	0	0	0.0076895	0.129948	3
8.377	0.243284	-0.877269	0.0793252	0.00860772	8.42544	0.254042	8.35	0.25	-1.81979	0	0.0076895	20.1257	4
8.31342	0.243129	-0.898558	0.0652406	0.00505303	8.23962	0.24916	8.25	0.25	-1.81978	0	0.358508	20.1257	5
8.10918	0.236175	-1.30904	-0.111442	-0.048545	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994	0.358508	30.0149	6
8.01097	0.207637	-1.35504	0.0989375	0.0147802	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993	1.92783	30.0149	7
7.83704	0.23846	-1.68792	-0.329919	-0.158536	7.61269	0.155818	7.7	0.15	-2.99982	0	1.92783	20.3338	8
7.72274	0.194043	-1.73786	0.00329308	-0.028051	7.54016	0.159641	7.55	0.15	-2.99982	0	2.13044	20.3338	9
7.61023	0.15225	-1.83746	0.174051	0.0527404	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239	2.13044	1.72986	10
7.48878	0.0770771	-1.87609	0.364476	0.137345	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823	1.39313	1.72986	11
7.331	0.191361	-2.0537	-0.194886	-0.591893	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507	1.39313	7.75629	12
7.18782	0.086475	-2.12249	0.0465487	-0.405198	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499	2.67999	7.75629	13
7.07576	0.022699	-2.0802	0.140881	-0.291894	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898	2.67999	3.16246	14
6.94519	-0.113796	-2.1243	0.355119	-0.00675326	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897	2.21648	3.16246	15
6.83381	-0.180937	-2.16524	0.380761	-0.0507324	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075	2.21648	1.34664	16
6.72282	-0.309599	-2.21504	0.525917	0.149343	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075	1.97684	1.34664	17
6.67541	-0.498535	-2.20022	0.932754	1.09862	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769	1.97684	4.85449	18
6.60633	-0.604203	-2.2189	1.00562	1.11089	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769	0.241366	4.85449	19
6.56734	-0.763794	-2.25728	1.22918	1.45774	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498	0.241366	1.31482	20
6.52065	-0.915097	-2.29426	1.32365	1.43352	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494	1.25019	1.31482	21
6.40835	-0.992783	-2.23541	1.102	0.762681	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898	1.25019	7.74128	22
6.33804	-1.12817	-2.2722	1.13812	0.722975	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896	1.16785	7.74128	23
